phase,supplier,unit,horizon,segment,model,n,sku_count,actual_qty,predicted_qty,wape_pct,bias_pct,underforecast_pct,overforecast_pct,zero_actual_pct
validation_2025,IEK,упак,28,intermittent,selected_2025,234,50,912.0,541.184,95.372,-40.66,68.016,27.356,51.709
validation_2025,IEK,упак,28,no_ambiguous_rows_sensitivity,sultan_mean59,359,64,20766.0,21350.712,42.85,2.816,20.017,22.833,34.262
validation_2025,IEK,упак,28,no_ambiguous_rows_sensitivity,mean28,359,64,20766.0,21901.0,49.095,5.466,21.815,27.28,34.262
validation_2025,IEK,упак,28,no_ambiguous_rows_sensitivity,weekly_ewma,359,64,20766.0,21914.023,46.974,5.528,20.723,26.251,34.262
validation_2025,IEK,упак,28,no_ambiguous_rows_sensitivity,robust_ewma,359,64,20766.0,19347.96,42.54,-6.829,24.684,17.856,34.262
validation_2025,IEK,упак,28,no_ambiguous_rows_sensitivity,seasonal364,359,64,20766.0,21914.023,46.974,5.528,20.723,26.251,34.262
validation_2025,IEK,упак,28,no_ambiguous_rows_sensitivity,seasonal_blend,359,64,20766.0,21914.023,46.974,5.528,20.723,26.251,34.262
validation_2025,IEK,упак,28,no_ambiguous_rows_sensitivity,selected_2025,359,64,20766.0,19347.96,42.54,-6.829,24.684,17.856,34.262
validation_2025,IEK,м,28,intermittent,sultan_mean59,294,66,8551.0,6098.78,97.21,-28.678,62.944,34.266,46.599
validation_2025,IEK,м,28,intermittent,mean28,294,66,8551.0,5999.0,109.718,-29.844,69.781,39.937,46.599
validation_2025,IEK,м,28,intermittent,weekly_ewma,294,66,8551.0,5861.882,98.316,-31.448,64.882,33.434,46.599
validation_2025,IEK,м,28,intermittent,robust_ewma,294,66,8551.0,5262.386,97.053,-38.459,67.756,29.297,46.599
validation_2025,IEK,м,28,intermittent,seasonal364,294,66,8551.0,5861.882,98.316,-31.448,64.882,33.434,46.599
validation_2025,IEK,м,28,intermittent,seasonal_blend,294,66,8551.0,5861.882,98.316,-31.448,64.882,33.434,46.599
validation_2025,IEK,м,28,intermittent,selected_2025,294,66,8551.0,5262.386,97.053,-38.459,67.756,29.297,46.599
validation_2025,IEK,упак,28,regular,sultan_mean59,131,33,22102.0,23193.017,38.822,4.936,16.943,21.879,1.527
validation_2025,IEK,упак,28,regular,mean28,131,33,22102.0,23645.0,45.267,6.981,19.143,26.124,1.527
validation_2025,IEK,упак,28,regular,weekly_ewma,131,33,22102.0,23758.895,43.671,7.497,18.087,25.584,1.527
validation_2025,IEK,упак,28,regular,robust_ewma,131,33,22102.0,21015.661,38.858,-4.915,21.887,16.972,1.527
validation_2025,IEK,упак,28,regular,seasonal364,131,33,22102.0,23758.895,43.671,7.497,18.087,25.584,1.527
validation_2025,IEK,упак,28,regular,seasonal_blend,131,33,22102.0,23758.895,43.671,7.497,18.087,25.584,1.527
validation_2025,IEK,упак,28,regular,selected_2025,131,33,22102.0,21015.661,38.858,-4.915,21.887,16.972,1.527
holdout_2026,IEK,шт,7,all,sultan_mean59,14288,1866,185942.0,219430.898,76.302,18.01,29.146,47.156,74.384
